epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.663,1.27766,0.96332,1.21194,0.26814,0.64562,0.2524,0.15121,1.36113,4.02992,1.28827,0.0671493,0.000331825,0.000331825
2,278.062,1.26575,0.78046,1.22036,0.8105,0.83098,0.82147,0.53806,1.247,0.85167,1.20286,0.034142,0.000657842,0.000657842
3,420.507,1.24321,0.73845,1.20331,0.41835,0.83235,0.41384,0.25999,1.25558,2.07189,1.23271,0.00112735,0.000976525,0.000976525
4,562.367,1.2356,0.71091,1.20178,0.94114,0.87563,0.93175,0.61773,1.1956,0.6588,1.15906,0.000967,0.000967,0.000967
5,703.897,1.2154,0.67878,1.18238,0.96464,0.89496,0.94048,0.61567,1.19898,0.62519,1.17057,0.000956,0.000956,0.000956
6,845.552,1.18287,0.63499,1.18247,0.96842,0.89414,0.93737,0.62841,1.19141,0.61948,1.15677,0.000945,0.000945,0.000945
7,987.721,1.18304,0.62189,1.18063,0.97262,0.91435,0.95342,0.64239,1.15693,0.5608,1.14081,0.000934,0.000934,0.000934
8,1129.68,1.14628,0.59928,1.16916,0.96172,0.91936,0.94925,0.64268,1.14,0.58785,1.14324,0.000923,0.000923,0.000923
9,1271.82,1.15121,0.58293,1.16571,0.97445,0.92084,0.95206,0.64963,1.13441,0.54311,1.14335,0.000912,0.000912,0.000912
10,1413.63,1.16213,0.5782,1.18352,0.97399,0.92141,0.95929,0.65646,1.14607,0.51745,1.13567,0.000901,0.000901,0.000901
11,1555.34,1.13545,0.56768,1.15427,0.97551,0.92537,0.95986,0.65716,1.12585,0.51518,1.12834,0.00089,0.00089,0.00089
12,1697.32,1.1374,0.55637,1.15091,0.97374,0.91212,0.94956,0.65736,1.118,0.51754,1.12202,0.000879,0.000879,0.000879
13,1843.19,1.11661,0.54555,1.14876,0.9762,0.9262,0.96351,0.67416,1.12228,0.49603,1.14426,0.000868,0.000868,0.000868
14,1992.54,1.12125,0.53924,1.15083,0.96162,0.93075,0.96037,0.6657,1.10525,0.50969,1.11606,0.000857,0.000857,0.000857
15,2142.08,1.10163,0.53333,1.15047,0.98159,0.93485,0.96513,0.67272,1.10982,0.47988,1.11747,0.000846,0.000846,0.000846
16,2291.43,1.11627,0.5343,1.14963,0.98027,0.92437,0.96211,0.67533,1.09904,0.47114,1.11534,0.000835,0.000835,0.000835
17,2441.24,1.10479,0.52069,1.1486,0.97292,0.91656,0.95809,0.66721,1.11665,0.50419,1.1241,0.000824,0.000824,0.000824
18,2590.28,1.1007,0.52109,1.14999,0.97884,0.93804,0.96707,0.66973,1.11079,0.4666,1.11962,0.000813,0.000813,0.000813
19,2733.66,1.09025,0.50612,1.14466,0.97219,0.93956,0.96728,0.68006,1.09407,0.46712,1.11819,0.000802,0.000802,0.000802
