frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[2171.88232421875 1154.3953857421875 2826.26025390625 1738.1531982421875],[2418.13232421875 1572.323486328125 2579.31201171875 1624.0848388671875],0.7182891964912415,NV51GSU,0.15151044158756824
0,2.0,[751.021728515625 1370.988525390625 1453.247314453125 1985.9527587890625],[983.31005859375 1784.508544921875 1201.7537841796875 1840.3623046875],0.6849566698074341,NA13NFU,0.2111410676296346
1,2.0,[749.4171987526059 1377.4142114440187 1446.4651697550385 1993.1833013867758],[986.6129760742188 1788.567626953125 1180.0157470703125 1843.474365234375],0.6890140771865845,NA13MPU,0.43363748018152515
1,1.0,[2175.075220469161 1157.9712541510557 2831.266001582931 1741.771923664472],[2417.55419921875 1576.68798828125 2581.02490234375 1626.2418212890625],0.6782614588737488,NW51TSU,0.20502234844934125
2,2.0,[742.6669005947203 1384.397859068728 1434.3045876275003 1999.5443856696643],[975.2100219726562 1794.2322998046875 1194.9984130859375 1853.613037109375],0.6979947686195374,NA13NPU,0.3703078435085518
2,1.0,[2173.098560674306 1166.896784729946 2806.0990014826384 1742.5909827529717],[2417.420654296875 1579.7259521484375 2580.70068359375 1631.0126953125],0.4094961881637573,MU51VSU,0.28253828975995005
3,2.0,[734.4446394549102 1391.6381834041376 1430.344053056275 2011.9131203285328],[966.829345703125 1803.20361328125 1177.812255859375 1862.9359130859375],0.6960986256599426,MA13NRU,0.2192033512819512
3,1.0,[2173.221039677302 1175.1184405492925 2800.6629956514575 1750.659912376823],[2413.341552734375 1587.444580078125 2584.834716796875 1639.07080078125],0.5899263024330139,HU51YSU,0.49806615762069156
4,1.0,[2173.345067144951 1180.1506770946748 2796.198613112567 1755.5975878091372],[2416.877197265625 1590.258544921875 2586.0908203125 1640.4327392578125],0.6598856449127197,AV51VSU,0.141335174302093
5,1.0,[2173.7764537515604 1184.8677679148295 2795.5910599702083 1762.1416499498505],[2416.034912109375 1597.9010009765625 2592.10595703125 1648.4300537109375],0.6832736730575562,HV51VSU,0.2309800459133631
8,2.0,[715.6466604036783 1417.6123981723108 1433.9186286922964 2059.1935446551506],[954.1381225585938 1844.4298095703125 1166.66162109375 1902.9407958984375],0.6864381432533264,NA13NRU,0.26955863025944077
9,1.0,[2173.616819088193 1203.992618136469 2801.31513720672 1789.3186841724782],[2424.25341796875 1621.95556640625 2591.76220703125 1673.47119140625],0.7113990783691406,HL51VSU,0.21226479033347612
9,2.0,[711.4651583645649 1424.143557927758 1424.4379166536187 2065.898717368279],[960.2722778320312 1853.6517333984375 1156.57958984375 1912.1297607421875],0.6787461638450623,NA13NRU,0.6637213354325807
10,2.0,[710.6033338963737 1428.812192130018 1420.9853667830018 2070.6062689792234],[961.3150634765625 1865.2171630859375 1159.4326171875 1918.2503662109375],0.6278654932975769,NA13NRU,0.2854002593303259
10,1.0,[2177.8270786968505 1208.8797095248528 2803.618959488961 1792.9194205370782],[2425.658203125 1627.3359375 2591.75390625 1676.792724609375],0.5358195304870605,MD51VSU,0.0340205564421802
11,2.0,[706.9519620094532 1434.4871855063702 1419.8315651515475 2077.958691299976],[944.8731079101562 1872.0074462890625 1155.632568359375 1929.1312255859375],0.608936071395874,NA13NRU,0.4434531217697449
11,6.0,[1210.0831286834537 1040.6011578747414 1755.1645520842644 1460.4727786678052],[1404.2501220703125 1315.9403076171875 1539.77978515625 1356.2601318359375],0.42022743821144104,GI15QCJ,0.4894263168419152
12,2.0,[704.3890250073614 1441.1844683286981 1417.4904885683768 2088.538122306072],[947.40380859375 1877.7139892578125 1162.7091064453125 1938.1065673828125],0.68427574634552,MA13NRU,0.5615218253110994
13,1.0,[2181.312179381856 1215.4186470780087 2824.240665969059 1811.3880466138849],[2426.0400390625 1641.8177490234375 2601.85791015625 1695.3834228515625],0.7163071632385254,ML51VSU,0.3360201756771773
13,2.0,[702.6690529454302 1446.4056166579912 1414.0940409420457 2095.354885920978],[953.2212524414062 1884.59765625 1155.362548828125 1941.457763671875],0.6960328817367554,NA13NRU,0.22407259509526117
14,1.0,[2181.0305950240336 1217.1829640105848 2830.845866171843 1817.4872635917704],[2427.205322265625 1646.616943359375 2600.87841796875 1699.65673828125],0.7145283818244934,MV51VSV,0.288257710156771
14,2.0,[698.5521951995257 1455.2959554900344 1412.3957238143603 2106.295322449751],[936.9343872070312 1892.16552734375 1147.5169677734375 1950.3095703125],0.6831870079040527,NA13MRU,0.19407969577118464
15,2.0,[691.1485332165408 1463.8858888242742 1408.0602892779502 2115.1255402569714],[927.19921875 1901.9271240234375 1143.1549072265625 1959.6280517578125],0.7128922343254089,NA13NRU,0.505904983104494
16,2.0,[686.1920107739693 1468.4764636349287 1405.580354019231 2120.8442846443877],[909.1023559570312 1908.66845703125 1142.1483154296875 1966.1221923828125],0.6913533210754395,NA13NRU,0.5013305988937843
17,1.0,[2176.3606356709165 1231.2078048980472 2829.5218981217636 1837.6163079970413],[2431.25048828125 1665.952880859375 2604.684326171875 1717.37109375],0.7236740589141846,ML51VSU,0.38922428822491495
