frame_no,car_id,bounding_box_car,license_plate_bounding_box,license_plate_bounding_box_score,license_number,license_number_score
0,1.0,[2171.88232421875 1154.3953857421875 2826.26025390625 1738.1531982421875],[2418.0966796875 1565.75830078125 2580.984375 1631.52392578125],0.639037549495697,NW51TSU,0.4180470914615204
1,1.0,[2175.075220469161 1157.9712541510557 2831.266001582931 1741.771923664472],[2419.05419921875 1566.3427734375 2582.29638671875 1636.5194091796875],0.6447371244430542,NT51VSU,0.02767291061927053
2,1.0,[2173.098560674306 1166.896784729946 2806.0990014826384 1742.5909827529717],[2417.9228515625 1567.4827880859375 2582.1474609375 1641.9517822265625],0.6373440623283386,MU51VSU,0.28253828975995005
2,2.0,[742.6669005947203 1384.397859068728 1434.3045876275003 1999.5443856696643],[990.1275024414062 1784.6064453125 1179.6495361328125 1852.6202392578125],0.6066917777061462,NA13NPU,0.3340102391765497
3,2.0,[734.4446394549102 1391.6381834041376 1430.344053056275 2011.9131203285328],[980.69970703125 1791.9759521484375 1174.0477294921875 1871.6744384765625],0.6614232063293457,MA13NRU,0.18350056815932692
3,1.0,[2173.221039677302 1175.1184405492925 2800.6629956514575 1750.659912376823],[2420.94091796875 1570.9149169921875 2586.299072265625 1646.1910400390625],0.5446019172668457,MU51VSU,0.1840019018577606
4,2.0,[734.5668343512501 1394.8565059894336 1437.2048199105307 2021.9282724291825],[969.602783203125 1797.5611572265625 1193.5880126953125 1882.3258056640625],0.6728534698486328,NA13MRU,0.7756470891118262
5,2.0,[730.2646515862232 1398.9033879450476 1439.4693436309778 2030.3372467176996],[960.06591796875 1815.760986328125 1188.0567626953125 1886.354736328125],0.5623557567596436,NA13MRU,0.6849538298874361
7,2.0,[721.5898110613887 1408.8032543144654 1441.4215735108899 2049.9538630962156],[960.1988525390625 1821.4127197265625 1165.4212646484375 1895.7264404296875],0.6757170557975769,NA13MRU,0.5573622774786782
8,2.0,[715.6466604036783 1417.6123981723108 1433.9186286922964 2059.1935446551506],[990.4691162109375 1843.3560791015625 1148.761962890625 1906.048095703125],0.624821662902832,NA13NRU,0.5704994648213435
9,2.0,[711.4651583645649 1424.143557927758 1424.4379166536187 2065.898717368279],[966.185302734375 1846.83984375 1157.657958984375 1924.20849609375],0.6615347266197205,NA13NRU,0.5261228863519357
